rank,identifier,name,recanon_smiles,molecular_formula,tanimoto_to_mitraphylline,percentile_in_full_distribution,z_score,mcs_num_atoms,mcs_fraction_of_mitraphylline,molecular_weight,alogp,topological_polar_surface_area,rotatable_bond_count,hydrogen_bond_acceptors,hydrogen_bond_donors,qed_drug_likeliness,np_likeness,np_classifier_pathway,np_classifier_superclass,np_classifier_class,organisms
1,CNP0184005.6,,C[C@H]1OC=C(C(=O)O)[C@H]2C[C@@H]3N(CC[C@]34C(=O)Nc3ccccc34)C[C@H]21,C20H22N2O4,0.8225806451612904,99.99773243594487,18.896355896371357,26,0.9629629629629629,354.41,1.97,78.87,1,4,2,0.81,2.03,,,,Uncaria longiflora|Uncaria longiflora var. pteropoda
2,CNP0184005.4,Mitraphyllic acid,C[C@@H]1OC=C(C(=O)O)[C@H]2C[C@@H]3N(CC[C@]34C(=O)Nc3ccccc34)C[C@H]12,C20H22N2O4,0.8225806451612904,99.99773243594487,18.896355896371357,26,0.9629629629629629,354.41,1.97,78.87,1,4,2,0.81,2.03,Alkaloids,Tryptophan alkaloids,Corynanthe type,Uncaria sinensis|Uncaria sinensis
3,CNP0184005.1,,C[C@@H]1OC=C(C(=O)O)[C@H]2C[C@@H]3N(CC[C@@]34C(=O)Nc3ccccc34)C[C@H]12,C20H22N2O4,0.8225806451612904,99.99773243594487,18.896355896371357,26,0.9629629629629629,354.41,1.97,78.87,1,4,2,0.81,2.03,Alkaloids,Tryptophan alkaloids,Corynanthe type,Uncaria guianensis|Uncaria guianensis|Uncaria sinensis
4,CNP0184005.5,,C[C@@H]1OC=C(C(=O)O)[C@H]2C[C@H]3N(CC[C@@]34C(=O)Nc3ccccc34)C[C@@H]12,C20H22N2O4,0.8225806451612904,99.99773243594487,18.896355896371357,26,0.9629629629629629,354.41,1.97,78.87,1,4,2,0.81,2.03,Alkaloids,Tryptophan alkaloids,Corynanthe type,
5,CNP0398179.5,"methyl (1S,4aS,5aS,6S,10aR)-6'-methoxy-1-methyl-2'-oxospiro[1,4a,5,5a,7,8,10,10a-octahydropyrano[3,4-f]indolizine-6,3'-1H-indole]-4-carboxylate",COC(=O)C1=CO[C@@H](C)[C@H]2CN3CC[C@@]4(C(=O)Nc5cc(OC)ccc54)[C@@H]3C[C@H]12,C22H26N2O5,0.803030303030303,99.99716554493108,18.370423941770888,27,1.0,398.46,2.07,77.1,2,6,1,0.77,1.81,Alkaloids,Tryptophan alkaloids,Corynanthe type,
6,CNP0398179.6,,COC(=O)C1=CO[C@@H](C)[C@H]2CN3CC[C@]4(C(=O)Nc5cc(OC)ccc54)[C@@H]3C[C@H]12,C22H26N2O5,0.803030303030303,99.99716554493108,18.370423941770888,27,1.0,398.46,2.07,77.1,2,6,1,0.77,1.81,Alkaloids,Tryptophan alkaloids,Corynanthe type,
7,CNP0398179.1,Vineridine,COC(=O)C1=CO[C@@H](C)[C@@H]2CN3CC[C@@]4(C(=O)Nc5cc(OC)ccc54)[C@H]3C[C@H]12,C22H26N2O5,0.803030303030303,99.99716554493108,18.370423941770888,27,1.0,398.46,2.07,77.1,2,6,1,0.77,1.81,Alkaloids,Tryptophan alkaloids,Corynanthe type,Vinca erecta|Vinca minor
8,CNP0398179.2,Vinerine,COC(=O)C1=CO[C@@H](C)[C@@H]2CN3CC[C@]4(C(=O)Nc5cc(OC)ccc54)[C@H]3C[C@H]12,C22H26N2O5,0.803030303030303,99.99716554493108,18.370423941770888,27,1.0,398.46,2.07,77.1,2,6,1,0.77,1.81,Alkaloids,Tryptophan alkaloids,Corynanthe type,Vinca erecta|Vinca minor|Vinca minor L.
9,CNP0270488.1,SCHEMBL29881178,COC(=O)C1=CO[C@@H](C)[C@@H]2CN3CC[C@@]4(C(=O)Nc5ccc(O)cc54)[C@@H]3C[C@H]12,C21H24N2O5,0.803030303030303,99.99716554493108,18.370423941770888,27,1.0,384.43,1.77,88.1,1,6,2,0.57,2.04,Alkaloids,Tryptophan alkaloids,Corynanthe type,Hamelia Patens|Hamelia patens
10,CNP0398179.4,AKOS032962267,COC(=O)C1=CO[C@@H](C)[C@@H]2CN3CC[C@]4(C(=O)Nc5cc(OC)ccc54)[C@@H]3C[C@H]12,C22H26N2O5,0.803030303030303,99.99716554493108,18.370423941770888,27,1.0,398.46,2.07,77.1,2,6,1,0.77,1.81,Alkaloids,Tryptophan alkaloids,Corynanthe type,
