rank,identifier,name,recanon_smiles,molecular_formula,tanimoto_to_mitraphylline,percentile_in_full_distribution,z_score,mcs_num_atoms,mcs_fraction_of_mitraphylline,molecular_weight,alogp,topological_polar_surface_area,rotatable_bond_count,hydrogen_bond_acceptors,hydrogen_bond_donors,qed_drug_likeliness,np_likeness,np_classifier_pathway,np_classifier_superclass,np_classifier_class,organisms
1,CNP0159273.6,Speciophylline,COC(=O)C1=CO[C@@H](C)[C@@H]2CN3CC[C@@]4(C(=O)Nc5ccccc54)[C@H]3C[C@H]12,C21H24N2O4,1.0,100.0,23.669188384370603,27,1.0,368.43,2.06,67.87,1,5,1,0.77,1.87,Alkaloids,Tryptophan alkaloids,Corynanthe type,Cephalanthus occidentalis|Cephalanthus tetrandra|Cephalanthus tetrandra|Cephalanthus tetrandrus|Cephalanthus tetrandrus|Hamelia Patens|Hamelia patens|Mitragyna hirsuta|Mitragyna hirsuta Havil|Mitragyna inermis|Mitragyna inermis|Mitragyna parvifolia|Mitragyna speciosa|Mitragyna speciosa|Mitragyna speciosa|Mitragyna speciosa Korth.|Uncaria attenuata|Uncaria attenuata|Uncaria bernaysii|Uncaria canescens|Uncaria ferrea|Uncaria guianensis|Uncaria guianensis|Uncaria homomalla|Uncaria homomalla|Uncaria homomalla|Uncaria homomalla Miq.|Uncaria laevigata|Uncaria lanosa|Uncaria longiflora|Uncaria longiflora|Uncaria longiflora|Uncaria longiflora var. pteropoda|Uncaria orientalis|Uncaria scandens|Uncaria sinensis|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria veluntina|Vinca erecta
2,CNP0159273.11,Isopteropodin,COC(=O)C1=CO[C@H](C)[C@H]2CN3CCC4(C(=O)Nc5ccccc54)C3C[C@@H]12,C21H24N2O4,1.0,100.0,23.669188384370603,27,1.0,368.43,2.06,67.87,1,5,1,0.77,1.87,Alkaloids,Tryptophan alkaloids,Corynanthe type,Uncaria
3,CNP0159273.12,DTXSID20930734,COC(=O)C1=CO[C@H](C)[C@H]2CN3CC[C@]4(C(=O)Nc5ccccc54)[C@H]3C[C@H]12,C21H24N2O4,1.0,100.0,23.669188384370603,27,1.0,368.43,2.06,67.87,1,5,1,0.77,1.87,Alkaloids,Tryptophan alkaloids,Corynanthe type,Uncaria|Uncaria
4,CNP0159273.5,Uncarine A,COC(=O)C1=CO[C@H](C)[C@H]2CN3CC[C@@]4(C(=O)Nc5ccccc54)[C@@H]3C[C@H]12,C21H24N2O4,1.0,100.0,23.669188384370603,27,1.0,368.43,2.06,67.87,1,5,1,0.77,1.87,Alkaloids,Tryptophan alkaloids,Corynanthe type,Ourouparia formosana|Uncaria|Uncaria|Uncaria attenuata|Uncaria elliptica|Uncaria elliptica|Uncaria elliptica R.Br.ex G.Don.|Uncaria hirsuta|Uncaria hirsuta|Uncaria longiflora|Uncaria perrottetii|Uncaria tomentosa
5,CNP0159273.4,Uncarine F,COC(=O)C1=CO[C@@H](C)[C@@H]2CN3CC[C@]4(C(=O)Nc5ccccc54)[C@H]3C[C@H]12,C21H24N2O4,1.0,100.0,23.669188384370603,27,1.0,368.43,2.06,67.87,1,5,1,0.77,1.87,Alkaloids,Tryptophan alkaloids,Corynanthe type,Cephalanthus tetrandra|Cephalanthus tetrandrus|Hamelia Patens|Hamelia patens|Mitragyna hirsuta|Mitragyna hirsuta Havil|Mitragyna inermis|Mitragyna parvifolia|Uncaria canescens|Uncaria homomalla|Uncaria homomalla|Uncaria homomalla Miq.|Uncaria lanosa|Uncaria lanosa|Uncaria longiflora|Uncaria longiflora|Uncaria longiflora|Uncaria longiflora var. pteropoda|Uncaria orientalis|Uncaria orientalis|Uncaria scandens|Uncaria sessilifructus|Uncaria sinensis|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria veluntina
6,CNP0159273.1,,COC(=O)C1=CO[C@@H](C)[C@@H]2CN3CC[C@@]4(C(=O)Nc5ccccc54)[C@H]3C[C@@H]12,C21H24N2O4,1.0,100.0,23.669188384370603,27,1.0,368.43,2.06,67.87,1,5,1,0.77,1.87,Alkaloids,Tryptophan alkaloids,Corynanthe type,
7,CNP0159273.15,,COC(=O)C1=CO[C@H](C)[C@@H]2CN3CC[C@]4(C(=O)Nc5ccccc54)[C@@H]3C[C@@H]12,C21H24N2O4,1.0,100.0,23.669188384370603,27,1.0,368.43,2.06,67.87,1,5,1,0.77,1.87,Alkaloids,Tryptophan alkaloids,Corynanthe type,
8,CNP0159273.8,Pteropodine,COC(=O)C1=CO[C@@H](C)[C@@H]2CN3CC[C@]4(C(=O)Nc5ccccc54)[C@@H]3C[C@H]12,C21H24N2O4,1.0,100.0,23.669188384370603,27,1.0,368.43,2.06,67.87,1,5,1,0.77,1.87,Alkaloids,Tryptophan alkaloids,Corynanthe type,Capsicum annuum|Cephalanthus glabratus|Cephalanthus occidentalis|Cephalanthus tetrandra|Cephalanthus tetrandrus|Hamelia Patens|Hamelia patens|Hamelia patens|Mitragyna hirsuta|Mitragyna hirsuta Havil|Mitragyna inermis|Mitragyna parvifolia|Uncaria bernaysii|Uncaria canescens|Uncaria ferrea|Uncaria guianensis|Uncaria guianesis|Uncaria homomalla|Uncaria homomalla|Uncaria homomalla|Uncaria homomalla Miq.|Uncaria lanosa|Uncaria lanosa|Uncaria longiflora|Uncaria longiflora|Uncaria longiflora|Uncaria longiflora|Uncaria orientalis|Uncaria scandens|Uncaria sinensis|Uncaria sp.|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa
9,CNP0159273.10,,COC(=O)C1=CO[C@H](C)[C@@H]2CN3CC[C@@]4(C(=O)Nc5ccccc54)[C@@H]3C[C@H]12,C21H24N2O4,1.0,100.0,23.669188384370603,27,1.0,368.43,2.06,67.87,1,5,1,0.77,1.87,Alkaloids,Tryptophan alkaloids,Corynanthe type,Uncaria elliptica|Uncaria elliptica R.Br.ex G.Don.
10,CNP0159273.2,ISOMITRAPHYLLINE,COC(=O)C1=CO[C@@H](C)[C@H]2CN3CC[C@@]4(C(=O)Nc5ccccc54)[C@@H]3C[C@H]12,C21H24N2O4,1.0,100.0,23.669188384370603,27,1.0,368.43,2.06,67.87,1,5,1,0.77,1.87,Alkaloids,Tryptophan alkaloids,Corynanthe type,Cephalanthus glabratus|Cephalanthus tetrandra|Cephalanthus tetrandrus|Mitragyna diversifolia|Mitragyna diversifolia|Mitragyna hirsuta|Mitragyna hirsuta|Mitragyna hirsuta|Mitragyna hirsuta Havil|Mitragyna inermis|Mitragyna javanica Koord.et Val.var.microphylla Craib|Mitragyna parvifolia|Mitragyna parvifolia|Mitragyna parvifolia|Mitragyna speciosa|Mitragyna speciosa|Mitragyna speciosa|Mitragyna speciosa Korth.|Uncaria africana|Uncaria callophylla|Uncaria elliptica|Uncaria elliptica|Uncaria elliptica|Uncaria elliptica R.Br.ex G.Don.|Uncaria guianensis|Uncaria guianensis|Uncaria guianensis|Uncaria hirsuta|Uncaria homomalla|Uncaria homomalla|Uncaria homomalla Miq.|Uncaria laevigata|Uncaria lancifolia|Uncaria lanosa|Uncaria longiflora|Uncaria longiflora|Uncaria orientalis|Uncaria perrottetii|Uncaria scandens|Uncaria sessilifructus|Uncaria sp.|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria tomentosa|Uncaria veluntina
