component,explained_variance_ratio,cumulative_variance
1,0.05234265910242401,0.05234265910242401
2,0.03883982741183654,0.09118248651426056
3,0.030029078886006942,0.1212115654002675
4,0.016100991970078353,0.13731255737034587
5,0.014688585787086886,0.15200114315743274
6,0.01283107351534775,0.1648322166727805
7,0.011263737951021282,0.1760959546238018
8,0.010350943123352632,0.18644689774715442
9,0.00951294815601687,0.19595984590317128
10,0.009177412846897623,0.2051372587500689
11,0.008247836719828594,0.2133850954698975
12,0.007463302751142161,0.22084839822103966
13,0.00730652470125981,0.22815492292229947
14,0.00642733396651817,0.23458225688881765
15,0.0061248198953427315,0.24070707678416037
16,0.005899246880998489,0.24660632366515886
17,0.005748735695684503,0.25235505936084335
18,0.005583092911202429,0.25793815227204575
19,0.005354601856007064,0.2632927541280528
20,0.00526386751905295,0.26855662164710575
21,0.005072471960873587,0.2736290936079793
22,0.004806228565485403,0.2784353221734647
23,0.0047753010275357706,0.2832106232010005
24,0.004666929260436791,0.28787755246143726
25,0.004516874644683276,0.2923944271061205
26,0.004250954751481963,0.2966453818576025
27,0.004158054197771428,0.3008034360553739
28,0.004027106176463331,0.30483054223183725
29,0.0038455214531327273,0.30867606368496997
30,0.0036740553750974903,0.3123501190600675
