identifier,molecular_weight,alogp,qed_drug_likeliness,contains_sugar,np_likeness,np_classifier_pathway,np_classifier_superclass,fp_row_index,UMAP1,UMAP2
CNP0265951.1,234.34,3.18,0.65,False,3.27,Terpenoids,Sesquiterpenoids,13,7.47535,3.0124683
CNP0198240.1,468.77,8.74,0.28,False,3.19,Terpenoids,Triterpenoids,15,3.234571,1.8692198
CNP0338775.1,634.81,3.78,0.13,True,2.83,Terpenoids,Triterpenoids,24,3.627927,1.517848
CNP0060584.0,270.24,0.08,0.53,False,1.8,Polyketides,Cyclic polyketides,52,7.500623,5.1625566
CNP0349164.0,135.13,0.93,0.54,False,-1.0,Alkaloids,,55,9.0803175,6.273339
CNP0365724.1,1233.52,-1.0,0.04,False,1.06,Amino acids and Peptides,Oligopeptides,89,9.792352,4.635616
CNP0578913.1,228.2,-1.17,0.44,False,3.17,Terpenoids,Monoterpenoids,105,9.113159,3.9137232
CNP0132544.1,358.43,3.35,0.6,False,1.42,Shikimates and Phenylpropanoids,Diarylheptanoids,161,8.630369,6.787241
CNP0182212.1,390.39,-2.15,0.34,True,2.77,Terpenoids,Monoterpenoids,192,6.357027,14.992673
CNP0109556.1,374.43,3.79,0.71,False,1.87,Shikimates and Phenylpropanoids,Lignans,202,7.460215,10.321104
CNP0313311.1,632.66,3.2,0.26,False,2.19,Terpenoids,Triterpenoids,281,2.6220067,3.481112
CNP0205977.1,927.05,1.0,0.14,True,1.97,Terpenoids,Steroids,285,14.032565,-0.9798465
CNP0348583.1,1441.57,-5.37,0.04,True,2.02,Terpenoids,Triterpenoids,343,9.680056,17.41747
CNP0215465.2,574.71,2.47,0.21,False,3.05,Terpenoids,Triterpenoids,354,8.708057,0.43245545
CNP0244821.1,466.66,6.4,0.44,False,3.59,Terpenoids,Triterpenoids,356,6.086208,3.7425373
CNP0248665.1,370.4,3.08,0.55,False,1.91,Shikimates and Phenylpropanoids,Flavonoids,394,7.933896,9.2850685
CNP0303777.0,224.26,2.45,0.46,False,1.01,Terpenoids,Monoterpenoids,495,8.516921,6.6134906
CNP0291118.0,362.51,5.74,0.24,False,1.91,Polyketides,Aromatic polyketides,501,9.507462,2.9111319
CNP0548130.0,417.49,3.12,0.21,False,-1.85,Alkaloids,Anthranilic acid alkaloids,532,10.309018,7.2612185
CNP0398215.0,331.38,3.28,0.61,False,-1.26,Alkaloids,Tryptophan alkaloids,552,10.727096,7.5024147
CNP0367337.0,249.22,1.66,0.86,False,-0.14,Alkaloids,Anthranilic acid alkaloids,568,8.725671,9.286025
CNP0345566.0,475.54,4.92,0.39,False,-0.44,Shikimates and Phenylpropanoids,Coumarins,677,9.673441,11.32641
CNP0122877.1,403.48,2.81,0.73,False,-0.72,Alkaloids,Tryptophan alkaloids,696,12.033915,8.574877
CNP0202010.3,376.45,2.04,0.7,False,3.24,Terpenoids,Triterpenoids,712,6.048224,4.7957373
CNP0198208.0,184.28,3.38,0.44,False,1.03,Fatty acids,Fatty Acids and Conjugates,720,10.090849,2.7333174
CNP0412547.1,486.74,8.77,0.13,False,1.0,Terpenoids,Meroterpenoids,755,9.474913,2.6971958
CNP0557639.1,838.04,3.06,0.15,False,0.1,Amino acids and Peptides,Oligopeptides,760,9.6649,4.7069597
CNP0278278.2,784.76,-1.95,0.07,True,1.74,Shikimates and Phenylpropanoids,Phenylethanoids (C6-C2),765,3.1929536,14.373546
CNP0310253.1,1077.31,-0.15,0.08,True,1.96,Terpenoids,Triterpenoids,774,7.708143,16.470854
CNP0130344.0,441.52,3.74,0.54,False,-0.12,Shikimates and Phenylpropanoids,Coumarins,834,10.768845,11.4143095
CNP0388272.1,458.52,3.53,0.59,False,-0.52,Alkaloids,Tryptophan alkaloids,905,12.202507,8.451314
CNP0167379.1,512.65,3.71,0.31,False,0.73,Terpenoids,Sesquiterpenoids,929,10.991999,6.5694246
CNP0165790.0,415.54,3.21,0.71,False,-0.44,Alkaloids,Tyrosine alkaloids,964,10.440106,7.316723
CNP0112731.1,422.47,-0.08,0.36,False,3.94,Terpenoids,Diterpenoids,1029,3.5091622,3.27738
CNP0359274.1,542.68,0.47,0.28,False,-1.27,Amino acids and Peptides,Small peptides,1056,11.013261,5.127917
CNP0332722.0,474.56,3.85,0.38,False,-0.81,Alkaloids,Tryptophan alkaloids,1079,11.315606,9.369504
CNP0393646.0,475.54,5.0,0.38,False,-0.51,Shikimates and Phenylpropanoids,Coumarins,1087,9.660766,11.294425
CNP0377058.1,417.51,1.97,0.63,False,-0.69,Unclassified,,1102,10.72672,9.486724
CNP0171440.0,282.3,3.48,0.74,False,0.4,Shikimates and Phenylpropanoids,Flavonoids,1124,8.89116,11.329885
CNP0348743.1,490.64,5.27,0.33,False,-0.14,Shikimates and Phenylpropanoids,Coumarins,1136,10.005654,10.885688
CNP0375438.1,388.42,1.92,0.77,False,-0.05,Alkaloids,,1144,8.876333,10.269546
CNP0393430.2,387.86,0.6,0.39,False,2.11,Alkaloids,Ornithine alkaloids,1183,6.7098694,4.4527736
CNP0385445.1,371.4,0.59,0.59,False,-1.0,Alkaloids,Histidine alkaloids,1208,10.702058,9.652664
CNP0351214.0,365.39,3.68,0.65,False,-0.39,Shikimates and Phenylpropanoids,Coumarins,1227,9.337547,11.776623
CNP0418868.1,286.42,2.99,0.93,False,-0.7,Alkaloids,Lysine alkaloids,1251,10.864785,5.826781
CNP0324806.0,484.92,4.09,0.41,False,1.61,Polyketides,Phloroglucinols,1255,8.538063,6.798948
CNP0017963.0,278.39,3.07,0.62,False,2.42,Terpenoids,Sesquiterpenoids,1262,3.6522856,3.784004
CNP0401203.0,434.49,4.63,0.4,False,-0.54,Alkaloids,,1357,9.368997,9.668449
CNP0017569.0,414.72,7.88,0.45,False,2.28,Terpenoids,Steroids,1377,6.2609797,0.6416495
CNP0134583.1,578.52,-1.83,0.15,True,1.6,Shikimates and Phenylpropanoids,Flavonoids,1427,4.790624,15.964091
CNP0155931.0,248.35,3.13,0.91,False,-0.29,Alkaloids,Tryptophan alkaloids,1456,12.154662,7.903561
CNP0198887.0,253.05,2.05,0.77,False,1.29,Polyketides,Naphthalenes,1468,8.681473,7.246285
CNP0199454.1,536.61,3.89,0.25,False,-0.5,Shikimates and Phenylpropanoids,Coumarins,1486,10.61488,11.797253
CNP0186543.0,449.42,3.16,0.56,False,0.05,Polyketides,,1512,8.91578,8.238623
CNP0560188.1,360.41,2.27,0.58,False,-0.23,Unclassified,,1545,12.462752,7.9249067
CNP0575565.1,549.51,3.29,0.09,True,1.73,Shikimates and Phenylpropanoids,Flavonoids,1550,3.370648,14.607341
CNP0265752.1,443.59,5.02,0.6,False,-0.38,Alkaloids,Tryptophan alkaloids,1611,12.137929,8.330207
CNP0407057.0,344.32,2.17,0.77,False,0.63,Shikimates and Phenylpropanoids,Coumarins,1632,7.947805,10.633122
CNP0226569.1,352.39,1.73,0.91,False,-0.61,Alkaloids,Lysine alkaloids,1636,17.025446,8.332784
CNP0424972.1,570.55,1.35,0.24,True,2.21,Terpenoids,Monoterpenoids,1651,5.6110277,14.700055
CNP0346522.0,333.34,4.29,0.51,False,0.46,Alkaloids,Tyrosine alkaloids,1744,7.5297523,10.793401
CNP0580770.0,249.27,2.53,0.87,False,-1.13,Alkaloids,Tryptophan alkaloids,1798,10.249562,9.255175
CNP0168529.2,389.4,2.47,0.41,False,1.76,Alkaloids,Ornithine alkaloids,1832,3.3596754,4.319308
CNP0423879.1,564.85,7.76,0.07,False,1.93,Polyketides,Linear polyketides,1836,8.669198,4.5434313
CNP0479937.1,959.53,19.32,0.03,False,0.51,Fatty acids,Glycerolipids,1870,24.886955,19.094812
CNP0548619.1,695.12,13.16,0.04,False,0.35,Fatty acids,Glycerolipids,1958,0.9359694,-18.288372
CNP0054345.0,406.53,4.27,0.75,False,-0.57,Unclassified,,1986,8.692056,8.085399
CNP0592095.0,556.61,6.49,0.16,False,-0.23,Shikimates and Phenylpropanoids,,2030,9.048978,9.372274
CNP0528672.3,562.11,4.68,0.48,False,-0.82,Terpenoids,,2036,17.762846,11.827482
CNP0177648.2,287.36,1.85,0.84,False,2.2,Alkaloids,Tyrosine alkaloids,2067,8.35543,10.09263
CNP0464644.1,343.43,2.14,0.89,False,-0.59,Alkaloids,Lysine alkaloids,2089,11.430439,6.4341
CNP0302095.2,222.33,3.13,0.63,False,1.06,Terpenoids,Monoterpenoids,2133,7.5696397,2.548857
CNP0490121.1,612.21,3.4,0.42,False,-0.89,Alkaloids,Pseudoalkaloids,2178,17.762785,11.841251
CNP0568715.1,387.44,2.81,0.59,False,-0.13,Alkaloids,Tryptophan alkaloids,2214,11.365828,7.2417593
CNP0452671.0,247.73,3.36,0.76,False,-1.44,Alkaloids,,2224,9.72169,6.1431007
CNP0245222.3,160.22,2.16,0.62,False,1.54,Unclassified,,2234,10.369563,6.774749
CNP0034401.2,386.5,1.7,0.83,False,-1.26,Alkaloids,Lysine alkaloids,2239,10.6293955,5.591266
CNP0393220.2,243.31,3.4,0.61,False,-0.34,Shikimates and Phenylpropanoids,Coumarins,2256,10.013529,11.078536
